fuel_type,body_type,km_driven,city,brand,transmission_type,no_of_owner,seats,manufacture_year,registration_year,model_year,price
Petrol,Hatchback,120000,bangalore,Maruti,Manual,3,5,2015,2015,2015,400000.0
Petrol,SUV,32706,bangalore,Ford,Manual,2,5,2018,2018,2018,811000.0
Petrol,Hatchback,11949,bangalore,Tata,Manual,1,5,2018,2018,2018,585000.0
Petrol,Sedan,17794,bangalore,Hyundai,Manual,1,5,2014,2014,2014,462000.0
Diesel,SUV,60000,bangalore,Maruti,Manual,1,5,2015,2015,2015,790000.0
Diesel,SUV,20000,bangalore,Jeep,Manual,1,5,2020,2020,2020,1900000.0
Petrol,Hatchback,37772,bangalore,Datsun,Manual,1,5,2017,2017,2017,345000.0
Petrol,SUV,30000,bangalore,Hyundai,Automatic,1,5,2021,2021,2021,1200000.0
Petrol,Sedan,37000,bangalore,Maruti,Automatic,1,5,2018,2018,2018,960000.0
Petrol,Hatchback,11949,bangalore,Tata,Manual,1,5,2017,2018,2017,585000.0
Petrol,Hatchback,50000,bangalore,Maruti,Manual,1,5,2018,2018,2018,690000.0
Petrol,Hatchback,24887,bangalore,Hyundai,Automatic,1,5,2019,2019,2019,682000.0
Petrol,Hatchback,23000,bangalore,Honda,Automatic,1,5,2018,2018,2018,825000.0
Petrol,Hatchback,48928,bangalore,Tata,Automatic,1,5,2018,2018,2018,595000.0
Diesel,SUV,108862,bangalore,Mahindra,Manual,3,7,2014,2014,2014,690000.0
Diesel,SUV,80000,bangalore,Jeep,Manual,1,5,2018,2018,2018,1350000.0
Diesel,SUV,16000,bangalore,Mercedes-Benz,Automatic,1,5,2022,2022,2022,5595000.0
Diesel,Hatchback,65376,bangalore,Hyundai,Manual,2,5,2014,2014,2014,521000.0
Petrol,SUV,10000,bangalore,Tata,Manual,1,5,2022,2022,2022,1005000.0000000001
Petrol,Sedan,67000,bangalore,Honda,Manual,2,5,2016,2016,2016,775000.0
Diesel,Sedan,100000,bangalore,BMW,Automatic,3,5,2011,2011,2011,2200000.0
Petrol,Hatchback,18083,bangalore,Maruti,Manual,1,5,2016,2016,2016,582000.0
Petrol,SUV,30000,bangalore,Renault,Manual,1,5,2020,2020,2020,1090000.0
Petrol,Hatchback,57634,bangalore,Tata,Manual,2,5,2016,2016,2016,457000.0
Petrol,Sedan,50000,bangalore,Mercedes-Benz,Automatic,2,5,2016,2016,2016,4900000.0
Petrol,Sedan,110000,bangalore,Honda,Manual,1,5,2015,2015,2015,550000.0
Petrol,Hatchback,23447,bangalore,Hyundai,Automatic,1,5,2018,2018,2018,570000.0
Lpg,Hatchback,30000,bangalore,Hyundai,Manual,2,5,2009,2009,2009,220000.00000000003
Petrol,Sedan,33000,bangalore,Mercedes-Benz,Automatic,1,5,2017,2017,2017,4145000.0000000005
Diesel,SUV,87667,bangalore,Mahindra,Manual,2,7,2014,2014,2014,861000.0
Diesel,Sedan,40000,bangalore,Audi,Automatic,2,5,2016,2016,2016,1785000.0000000002
Diesel,SUV,79012,bangalore,Mahindra,Manual,2,7,2014,2014,2014,802999.9999999999
Diesel,SUV,31344,bangalore,Jeep,Manual,1,5,2021,2021,2021,2565000.0
