,ft,bt,km,transmission,ownerNo,oem,model,modelYear,price,Registration Year,Insurance Validity,Fuel Type,Seats,Ownership,Transmission,Year of Manufacture,Mileage,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Turbo Charger,Super Charger,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,City
1,Petrol,SUV,32706,Manual,2,Ford,Ford Ecosport,2018,811000.0,2018,Comprehensive,Petrol,5,Second Owner,Manual,2018,17.0,1497.0,82bhp@6000rpm,150.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
2,Petrol,Hatchback,11949,Manual,1,Tata,Tata Tiago,2018,585000.0,2018,Comprehensive,Petrol,5,First Owner,Manual,2018,23.84,1199.0,82bhp@6000rpm,114.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
3,Petrol,Sedan,17794,Manual,1,Hyundai,Hyundai Xcent,2014,462000.0,2014,Comprehensive,Petrol,5,First Owner,Manual,2014,19.1,1197.0,82bhp@6000rpm,113.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
4,Diesel,SUV,60000,Manual,1,Maruti,Maruti SX4 S Cross,2015,790000.0,2015,Third Party insurance,Diesel,5,First Owner,Manual,2015,23.65,1248.0,82bhp@6000rpm,200.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
5,Diesel,SUV,20000,Manual,1,Jeep,Jeep Compass,2020,1900000.0,2020,Third Party insurance,Diesel,5,First Owner,Manual,2020,17.1,1956.0,82bhp@6000rpm,350.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
6,Petrol,Hatchback,37772,Manual,1,Datsun,Datsun GO,2017,345000.0,2017,Comprehensive,Petrol,5,First Owner,Manual,2017,20.63,1198.0,82bhp@6000rpm,104.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
7,Petrol,SUV,30000,Automatic,1,Hyundai,Hyundai Venue,2021,1200000.0,2021,Third Party insurance,Petrol,5,First Owner,Automatic,2021,18.15,998.0,82bhp@6000rpm,171.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
8,Petrol,Sedan,37000,Automatic,1,Maruti,Maruti Ciaz,2018,960000.0,2018,Comprehensive,Petrol,5,First Owner,Automatic,2018,20.28,1462.0,82bhp@6000rpm,138.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
9,Petrol,Hatchback,11949,Manual,1,Tata,Tata Tiago,2017,585000.0,2018,Comprehensive,Petrol,5,First Owner,Manual,2017,23.84,1199.0,82bhp@6000rpm,114.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
10,Petrol,Hatchback,50000,Manual,1,Maruti,Maruti Baleno,2018,690000.0,2018,Third Party insurance,Petrol,5,First Owner,Manual,2018,21.4,1197.0,82bhp@6000rpm,115.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
11,Petrol,Hatchback,24887,Automatic,1,Hyundai,Hyundai Grand i10,2019,682000.0,2019,Third Party insurance,Petrol,5,First Owner,Automatic,2019,18.9,1197.0,82bhp@6000rpm,113.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
12,Petrol,Hatchback,23000,Automatic,1,Honda,Honda Jazz,2018,825000.0,2018,Comprehensive,Petrol,5,First Owner,Automatic,2018,18.2,1199.0,82bhp@6000rpm,110.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
13,Petrol,Hatchback,48928,Automatic,1,Tata,Tata Tiago,2018,595000.0,2018,Comprehensive,Petrol,5,First Owner,Automatic,2018,23.84,1199.0,82bhp@6000rpm,114.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
14,Diesel,SUV,108862,Manual,3,Mahindra,Mahindra XUV500,2014,690000.0,2014,Comprehensive,Diesel,7,Third Owner,Manual,2014,15.1,2179.0,82bhp@6000rpm,330.0,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,No,No,4 Speed,FWD,Power,4.0,Disc,Drum,165.0,12.0,Tubeless,5,bangalore
